Gender,Age,Annual Income (k$),Spending Score (1-100),KMeans_Cluster,DBSCAN_Cluster
Male,31.391059220039573,76.33589295827076,46.23363682202008,2,0
Female,57.996920814630485,69.0222789350008,70.87321540160924,1,-1
Female,48.67964981618698,64.72637132494977,69.8409329629199,1,0
Female,38.33438088576587,48.02456773836407,56.55540224578414,1,0
Male,18.93639173468642,64.35019980759796,46.999437046170264,2,0
Male,22.95293763069847,54.85233751782942,13.993653784296416,0,0
Female,51.17415835815053,62.49232242352923,93.3583213353926,1,0
Male,67.210888427259,25.622796895025726,88.943189077464,1,-1
Female,41.81423332834235,64.22018793493935,74.93822682544389,1,0
Female,53.95235723948264,43.27673508077545,52.10004171217287,1,0
Male,30.173146595111792,44.23701225224279,17.06024349589324,0,0
Female,43.19184526957367,73.48212521983751,15.959703378415249,0,0
Male,67.72614998349452,74.18894538887648,54.13237979578916,1,0
Male,31.55435137534269,60.39680967410324,30.792462174556015,0,0
Male,21.60708070802056,64.17601820369084,52.372816401846116,2,0
Male,53.08143656606764,29.1537872523464,74.0036724592225,1,0
Male,26.580215894289626,62.12309627196693,87.3446975619193,2,0
Female,35.4820850472481,16.845737641565126,93.50674446326359,1,1
Male,58.91262664538769,52.48871858393721,41.552018958900454,1,0
Female,36.44697710645886,18.483981298209777,66.9640627581852,1,0
Male,51.990651472530416,60.21233944907807,12.331438296623116,0,0
Male,27.931734930238914,82.66443271619185,26.932751440817672,2,0
Male,57.9270019267927,41.22787910873113,64.5615725757213,1,0
Female,33.78078255244932,17.962786723030835,13.983876587408878,0,0
Female,29.579923740039543,63.58020409867195,2.5583306901195617,0,0
Male,69.70602946566267,55.35832238815378,82.07756159119336,1,4
Male,59.38990899050884,19.655987750892802,95.92585252088563,1,-1
Male,45.73605846913269,38.728101444715634,4.7323117688568015,0,-1
Male,32.49564162062917,118.6852002181632,17.457319360172008,2,-1
Female,35.198784029961615,46.74149766888373,11.596572246593468,0,0
Male,47.80433382407053,23.635523134132644,96.76684902279837,1,0
Female,33.12481687083243,71.65332881848303,48.08157040820561,2,0
Female,28.29786422231494,73.84292762879011,56.838484309576046,2,0
Female,33.11309024489009,29.441350333508613,40.510724972080375,0,0
Female,25.586839161699043,87.61800887087526,90.53755786396117,2,0
Female,69.90506478767996,15.085667748978505,40.44423285515361,1,-1
Male,62.42225006328932,14.773277936426181,44.85129361426474,1,-1
Male,26.850952732544943,97.88108995203928,50.33030923341943,2,0
Male,38.023664410094874,23.261119594727816,5.906593889145463,0,0
Female,58.058202700492735,67.07914617116373,20.140131246777756,1,-1
Female,48.65870047178158,45.285517135471466,87.41965138581577,1,0
Male,33.864944563229315,59.68314397546261,63.19030340479594,2,0
Male,49.12277824520247,61.828172836885074,53.39219554826069,1,0
Female,32.32368040188223,22.158476852254115,56.60404386197227,0,0
Male,26.45285336080594,79.0444186376054,57.35672932969672,2,0
Female,57.602932944504055,103.84614739028845,42.74741982819736,2,3
Male,36.437152924307085,70.4887750580747,49.85425276171957,2,0
Female,56.462547897467815,15.220189689230832,68.00639373277339,1,-1
Male,35.63847451746755,76.90543230989744,58.57332728918163,2,0
Female,19.994170397186906,61.00109408191244,33.242582183151605,0,0
Female,50.97045863386608,78.15075711704532,75.45767668550033,1,0
Female,51.32932224731276,15.547102854289818,99.62161423497741,1,0
Male,24.085850389475134,54.250887956063984,47.861774348715,0,0
Female,58.83725827648604,61.46841232049047,50.01462634471127,1,0
Female,37.94723385749893,41.55374821677377,57.73132333120569,1,0
Female,29.581955084414457,61.671519310350504,36.540157335057664,0,0
Female,45.540134425716154,59.259377175740035,54.923603868799184,1,0
Female,34.37188443840589,22.544392075482094,53.458478906166526,0,0
Female,33.97750306537221,76.39349995783624,3.3326104045171543,0,0
Male,64.15657835906111,76.11547103847559,28.56655522960142,1,-1
Female,32.48335810848975,41.4580124516007,58.89873516948089,0,0
Female,48.98896834635742,80.32872980926679,7.867420713243898,0,-1
Female,48.69349333493424,124.91781387263808,51.23866137826521,2,-1
Female,29.729241613918532,75.27735131176031,59.68556857672484,2,0
Female,21.190028861729047,41.75514468379766,61.4097050570167,0,0
Female,31.520133873009204,87.45007314462902,34.82486282796029,2,0
Female,53.8748867131979,123.70221379959281,73.81534529902032,2,-1
Female,23.43756819695601,63.97693788983919,32.44257950275708,0,0
Female,29.805361533398322,25.382125965146415,87.93979435975771,1,1
Female,37.86237336242854,39.02654758212299,10.061582747837592,0,0
Male,57.90085723876565,76.78587621203455,55.181150581995176,1,0
Female,56.43836137927609,102.30779662166688,11.825906078638463,2,-1
Male,18.634071070497995,25.499562102693563,18.54203056624206,0,-1
Male,30.013367257260857,75.38730071074454,50.06912087880806,2,0
Female,55.03828053508123,97.54802990564251,76.30809277187096,1,-1
Male,20.204884549523623,22.055788271746053,5.110101598515082,0,-1
Male,60.04979620686379,29.63787957058867,48.295448293229676,1,0
Female,54.60416087212823,77.09322555942192,60.030801380237186,1,-1
Female,58.58370434088095,54.42740455099319,61.88530635824908,1,0
Male,33.1498902909555,27.84192405409455,39.16069215464813,0,0
Female,56.34232560731654,58.83021012105604,44.32503143427707,1,0
Female,32.03727035668942,24.89812032567901,94.55105852157274,1,1
Male,46.01692907398735,61.8886521969772,41.93217756428397,1,0
Female,32.852627834168565,57.822240457081975,53.494153239606135,2,0
Female,20.378434597207953,57.60308495676734,23.856726409624677,0,0
Female,35.88171154445654,124.56987965957116,23.543466655371162,2,-1
